image,phrase1,phrase2,original_phrase1,original_phrase2,original_label,type_label
5506383509,4 kids,four asian kids,4 kids,Four Asian kids,Entailment2,2
5506407501,old asian man,smiling elderly asian man,An old Asian man,A smiling elderly Asian man,Entailment2,2
5506988830,school children,six asian children,School children,Six Asian children,Independence,4
5507087401,fake weapon,toy gun,a fake weapon,a toy gun,Entailment2,2
5507087401,filipino child arms maker,young child,a filipino child arms maker,A young child,Independence,4
5508398736,man,wrestling opponent,a man,wrestling opponent,Independence,4
5508398736,two white males,two wrestlers,Two white males,two wrestlers,Independence,4
5510073103,meat,sausages,meat,sausages,Entailment2,2
5510073103,meat,some long hotdogs,meat,some long hotdogs,Entailment2,2
5511459001,treats,various stuff,treats,various stuff,Independence,4
5511459001,children,group little kids,Children,A group of little kids,Entailment2,2
5511460259,dinner table,rectangular dining table,a dinner table,a rectangular dining table,Entailment2,2
5511461225,2 girls,two pre-teen girls,2 girls,Two pre-teen girls,Entailment2,2
5517849007,basket,flowers,a basket,flowers,Alternation,0
5517849007,two old ladies,two older women,Two old ladies,Two older women,Independence,4
5517849007,two old ladies,two older ladies,Two old ladies,Two older ladies,Equivalence,3
5518762083,huge snowball,large ball,a huge snowball,a large ball,Entailment1,1
5518762083,two children,two small boys,Two children,two small boys,Entailment2,2
5518762299,dog \'s food bowl,red dog bowl,a dog \'s food bowl,a red dog bowl,Independence,4
5518762299,bowl dog food,dog \'s food bowl,a bowl of dog food,a dog \'s food bowl,Entailment1,1
5518763793,boy,older man,A boy,an older man,Alternation,0
5518764727,asleep toddler,baby,Asleep toddler,A baby,Alternation,0
5518766647,older sister,woman,her older sister,A woman,Independence,4
5518766647,blue,blue coats,blue,blue coats,Entailment2,2
5519354264,two-child stroller,unattended double stroller,a two-child stroller,an unattended double stroller,Entailment2,2
5519354264,stroller,unattended double stroller,a stroller,an unattended double stroller,Entailment2,2
5519356022,medical professionals,two children,medical professionals,Two children,Alternation,0
5519356488,clown,old man,a clown,An old man,Independence,4
5519356488,group children,group seated children,a group of children,a group of seated children,Entailment2,2
5519359130,metal red slide,metal slide,a metal red slide,a metal slide,Entailment1,1
5519359130,metal slide,red metal slide,a metal slide,a red metal slide,Entailment2,2
5520203447,3 man,band three men,3 man,A band of three men,Entailment2,2
5522177900,green vest,protective vest,a green vest,a protective vest,Independence,4
5522182662,"large , green , navigating wheel",wheel wooden ship,"A large , green , navigating wheel",the wheel of his wooden ship,Independence,4
5522182662,boat captain,smiling ship captain,A boat captain,The smiling ship captain,Entailment2,2
5522482326,long hair,long ponytail,long hair,a long ponytail,Entailment2,2
5523001543,little girl,teen female,the little girl,a teen female,Alternation,0
5523538212,"helmeted , goggled skier",snow skier,"a helmeted , goggled skier",A snow skier,Independence,4
5523538212,other skiers,two other skiers,other skiers,two other skiers,Entailment2,2
5523586446,tuber ware container,tupperware container,a tuber ware container,a tupperware container,Equivalence,3
5526424589,man,thin middle-aged man,A man,A thin middle-aged man,Entailment2,2
5526424589,dining area,empty banquet room,a dining area,an empty banquet room,Entailment2,2
5526424589,banquet room,dinning restaurant,a banquet room,a dinning restaurant,Alternation,0
5526668006,hill,snow-covered mountain,a hill,a snow-covered mountain,Independence,4
5529428571,ground,some ground,the ground,some ground,Equivalence,3
5533686373,bunny suit,easter bunny costume,a bunny suit,an Easter Bunny costume,Entailment2,2
5533686373,bunny costume,bunny outfit,a bunny costume,a bunny outfit,Entailment1,1
5534280202,blond-haired child,young blond-haired child,A blond-haired child,A young blond-haired child,Entailment2,2
5534793306,pillar,pole,a pillar,a pole,Independence,4
5534793306,column white,pillar white,a column white,a pillar white,Equivalence,3
5534793306,white clothing,white overalls,white clothing,white overalls,Entailment2,2
5535626115,large piece wood,piece tree trunk,a large piece of wood,a piece of tree trunk,Independence,4
5535626115,piece tree trunk,sides log,a piece of tree trunk,the sides of a log,Alternation,0
5536018727,construction worker,constructions worker,A construction worker,A constructions worker,Equivalence,3
5536289343,aprons,attire,aprons,attire,Entailment1,1
5539761047,girl,real person,girl,a real person,Entailment1,1
5539761047,real person,women,a real person,Women,Alternation,0
5542011192,crowd,other adults,a crowd,other adults,Entailment2,2
5543458745,guitar-playing woman,tattooed female guitar player,A guitar-playing woman,A tattooed female guitar player,Entailment2,2
5543458745,lady,tattooed female guitar player,A lady,A tattooed female guitar player,Entailment2,2
5543458745,kiss,kisses,a kiss,kisses,Alternation,0
5543458745,guitar-playing woman,guitarist,A guitar-playing woman,A guitarist,Entailment1,1
5547783051,red jacket,red zipped jacket,a red jacket,a red zipped jacket,Entailment2,2
5547783051,another man,one man,another man,One man,Entailment1,1
5547783051,black jacket,brown jacket,a black jacket,a brown jacket,Alternation,0
5547783051,another man,man,another man,A man,Equivalence,3
5550325552,four dancers,four performers,Four dancers,Four performers,Entailment1,1
5551993461,metal worker,older metal worker,Metal worker,An older metal worker,Entailment2,2
5551993461,older gentleman,older metal worker,An older gentleman,An older metal worker,Independence,4
5554366099,cute female gymnast,girl,A cute female gymnast,A girl,Independence,4
5554366099,parallel bars,uneven bars,the parallel bars,the uneven bars,Alternation,0
5558777621,vi violin,violin,a vi violin,a violin,Equivalence,3
5559471351,batter food,food,a batter of food,food,Entailment1,1
5559644896,group black children,silly young boys,A group of black children,Silly young boys,Independence,4
5559644896,group young boys,seven young boys,A group of young boys,Seven young boys,Entailment2,2
5561301943,black white pinstriped apron,striped apron,a black and white pinstriped apron,a striped apron,Entailment1,1
5561301943,man,salesman,A man,A salesman,Entailment2,2
5561301943,bald-headed man,man,A bald-headed man,A man,Entailment1,1
5561301943,butcher \'s counter,counter deli,a butcher \'s counter,the counter of a deli,Independence,4
5562469374,2 people,two male swimmers,2 people,Two male swimmers,Entailment2,2
5562469374,clean crisp water,water,the clean crisp water,the water,Entailment1,1
5562975921,large ornate necklace,multicolored jewelry,a large ornate necklace,multicolored jewelry,Entailment1,1
5562975921,jewelry maker,young man,A jewelry maker,A young man,Independence,4
5562975921,jewelry maker,man,A jewelry maker,A man,Independence,4
5563345549,some sort craft work,something,some sort of craft work,something,Entailment1,1
5563345549,blue dye,fabric,blue dye,fabric,Alternation,0
5563345549,indian woman,indian women,An Indian woman,an Indian women,Alternation,0
5563446889,drums,instruments,the drums,instruments,Entailment1,1
5563446889,marching band,marching procession people,a marching band,A marching procession of people,Independence,4
5563446889,band,parade people,A band,A parade of people,Independence,4
5565536413,artistic image,big corrugated metal wall,an artistic image,a big corrugated metal wall,Independence,4
5565536413,artist,asian man,An artist,An Asian man,Independence,4
5565536413,artistic image,artwork,an artistic image,his artwork,Entailment1,1
5565536413,artwork,big corrugated metal wall,his artwork,a big corrugated metal wall,Alternation,0
5565536413,artwork,mural,his artwork,a mural,Entailment2,2
5565536413,artistic image,mural,an artistic image,a mural,Entailment2,2
5565536413,garage door,large metal garage door,a garage door,a large metal garage door,Entailment2,2
5565570899,`` c `` shape,silk ribbon,"a "" c "" shape",a silk ribbon,Independence,4
5565570899,gymnast,"olympian , female",A gymnast,"Olympian , female",Independence,4
5565570899,`` c `` shape,long pink streamer,"a "" c "" shape",a long pink streamer,Alternation,0
5565570899,bright pink green costume,neon pink green outfit,a bright pink and green costume,a neon pink and green outfit,Independence,4
5566135246,hula-hoop,yellow hula hoop,a hula-hoop,a yellow hula hoop,Entailment2,2
5572655622,direct traffic,traffic,direct traffic,traffic,Entailment1,1
5574382134,some rocks,two rocks,some rocks,two rocks,Entailment2,2
5576659557,green vegetables,meal,green vegetables,a meal,Independence,4
5582687203,zebra print unitard,zebra-print muumuu,a zebra print unitard,a zebra-print muumuu,Alternation,0
5583005407,beautiful ruins,ornate stonework pavilions,beautiful ruins,ornate stonework pavilions,Independence,4
5583005407,group young boys,indian men,A group of young boys,Indian men,Alternation,0
5583005407,young indian boy,young man,A young Indian boy,A young man,Alternation,0
5583280537,three bicyclists,three bikers,Three bicyclists,Three bikers,Entailment1,1
5583280537,three bikers,three cyclists,Three bikers,Three cyclists,Equivalence,3
5583327265,customers,last minute holiday shoppers,Customers,last minute holiday shoppers,Entailment2,2
5583674969,musical instrument,trumpet,a musical instrument,a trumpet,Entailment2,2
5583837367,one woman,young girl,one woman,a young girl,Alternation,0
5585791618,graffiti wall,large wall,a graffiti wall,a large wall,Independence,4
5585791618,dark hair female,girl,A dark hair female,a girl,Entailment1,1
5585791618,face graffiti covered wall,large wall,the face of a graffiti covered wall,a large wall,Independence,4
5585975540,disc,discus,a disc,a discus,Entailment2,2
5585975540,athletic clothing,red shirt,athletic clothing,a red shirt,Independence,4
5585975540,discus,frisbee,a discus,a Frisbee,Alternation,0
5586190109,balanced tapered jenga tower,teetering tower,a balanced tapered Jenga tower,its teetering tower,Independence,4
5586889028,fields,green garden,the fields,a green garden,Alternation,0
5587932348,female juggler,young man,A female juggler,A young man,Alternation,0
5589601689,music score,sheet music violoncelli,a music score,the sheet music of Violoncelli,Entailment2,2
5589601689,page sheet music,sheet music violoncelli,a page of sheet music,the sheet music of Violoncelli,Independence,4
5589601689,someone,violinist,Someone,violinist,Entailment2,2
5589693661,girl,young adult woman,Girl,A young adult woman,Alternation,0
5590283636,mall trashcan,trashcan,a mall trashcan,a trashcan,Entailment1,1
5590283636,custodian,woman,The custodian,The woman,Independence,4
5591545538,bag clams,net,a bag of clams,a net,Independence,4
5591545538,clams,netted bag clams,clams,a netted bag of clams,Entailment2,2
5591545538,bag clams,netted bag clams,a bag of clams,a netted bag of clams,Entailment2,2
5592562548,colorful pieces large confetti,yellow orange confetti,colorful pieces of large confetti,yellow and orange confetti,Independence,4
5593628279,young musician,youth,young musician,A youth,Entailment1,1
5593628279,enthusiastic crowd,onlooking fans,an enthusiastic crowd,onlooking fans,Independence,4
5593634551,three men,three policemen,Three men,Three policemen,Entailment2,2
5593634551,police,three men,Police,Three men,Independence,4
5595612913,law enforcement officer,local police officer,A law enforcement officer,A local police officer,Entailment2,2
5595612913,law enforcement officer,police officer,A law enforcement officer,A police officer,Equivalence,3
5597473807,colorfully painted dressed man,singer,A colorfully painted and dressed man,A singer,Independence,4
5597767097,grocery store,supermarket,grocery store,the supermarket,Equivalence,3
5597911580,car,white marked car,his car,a white marked car,Entailment2,2
5602731697,group 6 men,some men,A group of 6 men,some men,Entailment1,1
5602737557,children \'s park,playground,a children \'s park,a playground,Independence,4
5604836194,dive,male surfer,a dive,A male surfer,Alternation,0
5604836194,male surfer,person,A male surfer,a person,Entailment1,1
5604852363,fan,woman,a fan,a woman,Independence,4
5605133486,beef,slices,beef,slices,Independence,4
5605455443,two men,two wrestlers,Two men,Two wrestlers,Independence,4
5605455443,two martial arts opponents,young man,as two martial arts opponents,a young man,Alternation,0
5606758706,"pink , gray white jacket",poky dot jacket,"a pink , gray and white jacket",a poky dot jacket,Independence,4
5606758706,5 shopping bags,brightly colored bags,5 shopping bags,brightly colored bags,Independence,4
5606758706,multiple bags,several shopping bags,multiple bags,several shopping bags,Entailment2,2
5608476880,ceremonial apparel,ceremonial costumes,ceremonial apparel,ceremonial costumes,Entailment2,2
5608476880,kimonos,red ethnic costumes,kimonos,red ethnic costumes,Independence,4
5608476880,ceremonial costumes,red ethnic costumes,ceremonial costumes,red ethnic costumes,Independence,4
5608502395,adult martial artist,man,An adult martial artist,A man,Independence,4
5609573810,forested island,tree covered hill,a forested island,a tree covered hill,Independence,4
5610848512,bare-chested man,boy,A bare-chested man,The boy,Alternation,0
5610848512,bare-chested man,dark-haired man,A bare-chested man,dark-haired man,Independence,4
5611391594,two boy,two men,Two boy,Two men,Alternation,0
5611717202,seven people,variety adults,Seven people,A variety of adults,Independence,4
5611717202,pc table,round table,PC table,a round table,Independence,4
5612808611,lab technicians,two men,Lab technicians,Two men,Independence,4
5613922717,construction worker,male construction worker,A construction worker,Male construction worker,Entailment2,2
5613922717,steel girder,support beam,a steel girder,a support beam,Entailment1,1
5613922717,male construction worker,man,Male construction worker,A man,Entailment1,1
5614228719,member american indian tribe,native american indian,A member of an American Indian tribe,A native american indian,Equivalence,3
5614228719,native american clothing,native attire,Native American clothing,native attire,Entailment1,1
5614228719,native attire,traditional native american attire,native attire,a traditional Native American attire,Entailment2,2
5615077255,crafts activities,paint,crafts activities,paint,Independence,4
5615077255,colored paper,posters,colored paper,posters,Independence,4
5615077255,art project,paint,an art project,paint,Independence,4
5615134449,red coat stocking dark kilt,scottish garb,a red coat and stocking and dark kilt,Scottish garb,Entailment1,1
5615134449,black-plaid dress,long plaid dress,black-plaid dress,a long plaid dress,Independence,4
5615654150,woman,young white girl,A woman,A young white girl,Alternation,0
5615654150,card symbols,cards,card symbols,cards,Alternation,0
5615711650,two girls,two traveling women,Two girls,Two traveling women,Alternation,0
5615716320,yellow polo shirts,yellow uniform,yellow polo shirts,yellow uniform,Independence,4
5617549557,black hat,yellow t-shirt,a black hat,a yellow t-shirt,Alternation,0
5620724486,blond white girl,young woman,Blond white girl,A young woman,Alternation,0
5620724486,bass player girl,woman,A bass player girl,A woman,Alternation,0
5620724486,blond white girl,young lady,Blond white girl,A young lady,Entailment1,1
5620724486,blond white girl,woman,Blond white girl,A woman,Alternation,0
5620724486,bass player girl,young woman,A bass player girl,A young woman,Alternation,0
5621600104,red,"red , black white uniform",red,"a red , black and white uniform",Entailment2,2
5621600104,"red , black white uniform",red uniform,"a red , black and white uniform",a red uniform,Entailment1,1
5621916498,pretty young lady,small girl,Pretty young lady,A small girl,Alternation,0
5632141892,crowd women,large group women,A crowd of women,A large group of women,Equivalence,3
5632141892,group indian women,people,A group of indian women,People,Entailment1,1
5632141892,muddy river,muddy water,a muddy river,muddy water,Entailment1,1
5632141892,group women,large group women,A group of women,A large group of women,Entailment2,2
5633096756,gymnastics,jumping,gymnastics,is jumping,Independence,4
5633096756,gymnastics routine,jumping,a gymnastics routine,is jumping,Independence,4
5633096756,little boy,woman,Little boy,A woman,Alternation,0
5635975939,artist,female musician,An artist,A female musician,Independence,4
5637361857,original art,painting,the original art,a painting,Independence,4
5637361857,art,old works art,the art,old works of art,Entailment2,2
5637361857,another artist \'s work,old works art,another artist \'s work,old works of art,Independence,4
5637361857,art,original,the art,the original,Independence,4
5637498751,bright neon reflective vest,yellow safety jacket,a bright neon reflective vest,a yellow safety jacket,Independence,4
5639026536,laptop,laptops,a laptop,laptops,Equivalence,3
5640452539,dwarves,people,the Dwarves,People,Entailment1,1
5642901248,pretty lady,woman,A pretty lady,A woman,Entailment1,1
5648828783,heat torch,propane torch,a heat torch,a propane torch,Entailment2,2
5648828783,lady,one person,A lady,one person,Entailment1,1
5648957534,gardener,village person,Gardener,Village person,Independence,4
5651210045,black motorcycle,motorcycle,a black motorcycle,a motorcycle,Entailment1,1
5651210045,man,skateboarder,A man,A skateboarder,Independence,4
5651210045,guy,skateboarder,A guy,A skateboarder,Independence,4
5651514000,several pieces meat,steaks,several pieces of meat,steaks,Independence,4
5652699228,asian market,asian supermarket,an Asian market,an Asian supermarket,Equivalence,3
5652699228,asian market,inside market,an Asian market,an inside market,Independence,4
5654749179,dinosaur exhibit,picture,a dinosaur exhibit,their picture,Alternation,0
5654749179,dinosaur exhibit,dinosaur skeleton,a dinosaur exhibit,a dinosaur skeleton,Entailment2,2
5657884044,one guy,someone,One guy,Someone,Entailment1,1
5657884044,blue yellow coat,raincoat,a blue and yellow coat,a raincoat,Independence,4
5658123607,five kids,little boys,Five kids,little boys,Independence,4
5658123607,five kids,several boys,Five kids,Several boys,Independence,4
5658127907,five men,team boys,Five men,A team of boys,Alternation,0
5660037266,two janitors,two men,Two janitors,Two men,Independence,4
5660037266,asian temple,temple,an Asian temple,a temple,Entailment1,1
5660037266,man,two janitors,A man,Two janitors,Alternation,0
5660037266,cherry blossoms,flowers,the cherry blossoms,flowers,Entailment1,1
5661511576,help adolescent female,two girls,the help of an adolescent female,Two girls,Alternation,0
5668948557,boat,lobster boat,a boat,the lobster boat,Entailment2,2
5669382831,ice skater,young asian woman,An ice skater,A young Asian woman,Independence,4
5669382831,costume,"short , black dress",costume,"a short , black dress",Independence,4
5671379503,side building,sides buildings,the side of a building,the sides of buildings,Alternation,0
5676123641,large mountain,snow,a large mountain,the snow,Alternation,0
5676123833,ice skater,man,An Ice skater,Man,Independence,4
5676780431,bmx bike rider,man,BMX bike rider,A man,Independence,4
5676780431,cyclist,dirt biker,A cyclist,A dirt biker,Entailment2,2
5678896414,old man,unabomber,An old man,the unabomber,Independence,4
5678896414,bearded fisherman,shirtless male,A bearded fisherman,A shirtless male,Independence,4
5678896414,net,one white flotation device,a net,one white flotation device,Independence,4
5679390502,excited boy,little boy,An excited boy,a little boy,Independence,4
5680345504,big bottle coke,coca-cola bottle,a big bottle of Coke,a Coca-Cola bottle,Entailment1,1
5682364328,camping trail,dirt road,a camping trail,a dirt road,Independence,4
5683406436,off-road bike rider,person,Off-road bike rider,A person,Independence,4
5683406436,black protective pads,pads,black protective pads,pads,Entailment1,1
5684145463,daughter grocery,one,her daughter grocery,"one</font> wearing a blue shirt and the man wearing a red <font color=""red"">one",Alternation,0
5684720360,cash register,walmart check-out,the cash register,Walmart check-out,Entailment2,2
5685007801,cute african american girl,woman,Cute African American girl,A woman,Alternation,0
5686865855,dilapidated roof,rooftop,a dilapidated roof,a rooftop,Entailment1,1
5686865855,damaged roof,peaked roof,a damaged roof,a peaked roof,Independence,4
5686865855,peaked roof,rooftop,a peaked roof,a rooftop,Entailment1,1
5686865855,peaked roof,roof building,a peaked roof,a roof of a building,Entailment1,1
5686868227,"clean , shiny desk",wooden desk,"a clean , shiny desk",a wooden desk,Independence,4
5687357997,white moped,white scooter,the white moped,a white scooter,Entailment1,1
5687357997,officer,police person,The officer,A police person,Entailment2,2
5687833791,crowd visitors,large group,a crowd of visitors,A large group,Entailment1,1
5687833791,colonial-era clothes,period clothing,Colonial-era clothes,period clothing,Entailment1,1
5687835083,conductor,musician,A conductor,a musician,Entailment1,1
5688558209,air,either side,the air,either side of her,Independence,4
5688558209,asian performer,asian woman,An Asian performer,an Asian woman,Independence,4
5690859699,some carts,stacked row grocery shopping carts,some carts,a stacked row of grocery shopping carts,Entailment2,2
5690859699,motorized floor,moving walkway,a motorized floor,a moving walkway,Entailment2,2
5691273194,5 fit men,five men,5 fit men,Five men,Entailment1,1
5691273194,5 fit men,group men,5 fit men,A group of men,Entailment1,1
5691273194,group five men,group young men,A group of five men,A group of young men,Independence,4
5691273322,back delivery truck,white truck,the back of a delivery truck,a white truck,Independence,4
5691283784,pedestrian walkway,sidewalk,a pedestrian walkway,the sidewalk,Entailment2,2
5691283784,cities walkway,streets,a cities walkway,the streets,Independence,4
5692076205,male guitar player,young male musician,A male guitar player,A young male musician,Independence,4
5695964851,land,small island,land,a small island,Entailment2,2
5695964851,harbor,land,harbor,land,Alternation,0
5696547236,life jackets,yellow life jackets,life jackets,yellow life jackets,Entailment2,2
5696547236,motorized boat,moving motor boat,a motorized boat,a moving motor boat,Entailment2,2
5696549500,divers,three men,divers,Three men,Independence,4
5696581092,big star,large star,a big star,a large star,Equivalence,3
5696581092,big star,large star decoration,a big star,a large star decoration,Entailment2,2
5696880945,clothes,long native robes,their clothes,long native robes,Entailment2,2
5696880945,group indian men,two men,A group of Indian men,two men,Alternation,0
5701331807,two knights,two people,Two knights,Two people,Entailment1,1
5701786491,large commercial video game,video game,a large commercial video game,video game,Entailment1,1
5701786491,large commercial video game,video racing game,a large commercial video game,a video racing game,Independence,4
5703140155,outside window clean,windows,the outside of a window clean,windows,Entailment1,1
5705242347,three dancers,three female dance performers,Three dancers,Three female dance performers,Entailment2,2
5705242347,three dancers,three women,Three dancers,Three women,Independence,4
5706094499,crowd young people,youthful people,A crowd of young people,youthful people,Entailment1,1
5706094499,group young adults,youthful people,A group of young adults,youthful people,Equivalence,3
5708913531,handrail,steel beam,a handrail,a steel beam,Independence,4
5708913531,black rail,steel beam,a black rail,a steel beam,Independence,4
5708913531,jeans,white jeans,jeans,white jeans,Entailment2,2
5708913531,black rail,rail,a black rail,a rail,Entailment1,1
5708913719,rail,rod,a rail,a rod,Entailment1,1
5708913719,banister,rod,a banister,a rod,Independence,4
5709070770,building,burning building,a building,the burning building,Entailment2,2
5710348031,orange yellow safety clothes,reflective apparel,orange and yellow safety clothes,reflective apparel,Independence,4
5710348031,hose,thick cord,a hose,a thick cord,Alternation,0
5712029145,little girl,passenger,A little girl,A passenger,Independence,4
5712096379,side train,train,the side of a train,a train,Entailment1,1
5712096379,side red white train,side train,the side of a red and white train,the side of a train,Entailment1,1
5714048502,red feathers,top,red feathers,top,Alternation,0
5714048502,red feather hat,top,a red feather hat,top,Alternation,0
5715657613,blue football,football,a blue football,a football,Entailment1,1
5715657613,students,young woman,students,A young woman,Alternation,0
5715657613,air,least one,the air,at least one of which,Alternation,0
5716219952,grassy open area,park,grassy open area,a park,Independence,4
5716554915,art studio,tranquil room,her art studio,a tranquil room,Independence,4
5716554915,large window,nearby window,a large window,a nearby window,Independence,4
5718656424,boxes,french apple boxes,boxes,French apple boxes,Entailment2,2
5721250516,guy,one drummer,a guy,one drummer,Independence,4
5721362205,brown object,some concoction,a brown object,some concoction,Independence,4
5721362205,bowl,metal dish,a bowl,a metal dish,Independence,4
5721400077,young hispanic-looking boy,young male boy,A young hispanic-looking boy,A young male boy,Entailment1,1
5721468367,green grass,open grass area,green grass,an open grass area,Entailment2,2
5723273191,gray vest,green vest,a gray vest,a green vest,Alternation,0
5723273191,rugged urban area,sidewalk,a rugged urban area,the sidewalk,Independence,4
5723818088,rollerskates,some rollerblades,rollerskates,some rollerblades,Alternation,0
5726809479,large net,portion large net,a large net,a portion of a large net,Entailment2,2
5726809479,fishing net,portion large net,a fishing net,a portion of a large net,Independence,4
5726810305,lot thin wire,string,a lot of thin wire,the string,Alternation,0
5726810305,fishing line,lot thin wire,fishing line,a lot of thin wire,Independence,4
5727359138,blue shirt,sky-blue shirt,a blue shirt,a sky-blue shirt,Entailment2,2
5727359138,blue shirt,blue short,a blue shirt,a blue short,Alternation,0
5727359138,blue short,sky-blue shirt,a blue short,a sky-blue shirt,Alternation,0
5727946383,children,crowd,children,a crowd,Independence,4
5727946383,flowing yellow skirt,pretty bright yellow dress,a flowing yellow skirt,a pretty bright yellow dress,Alternation,0
5728470160,bright green outfit,green pink dress,a bright green outfit,a green and pink dress,Entailment2,2
5728470160,blue outfit,blue suit,a blue outfit,a blue suit,Entailment2,2
5728602543,barbie dolls,barbies,Barbie dolls,Barbies,Equivalence,3
5730564191,lamb meat,piece,the lamb meat,a piece,Entailment1,1
5730564191,meat,piece,meat,a piece,Alternation,0
5731856709,camera,other direction,the camera,the other direction,Alternation,0
5732157460,three children,three youth,Three children,Three youth,Equivalence,3
5732157460,girls,three young child,the girls,Three young child,Independence,4
5733209542,fight,wrestling match,"fight</font>ing gloves and headgear are shown in stop motion photography mid <font color=""red"">fight",a wrestling match,Entailment2,2
5735222957,numerous people,other people,numerous people,other people,Independence,4
5737431445,two dancers,young latin couple,Two dancers,A young Latin couple,Independence,4
5737431445,dance,tango,a dance,the tango,Entailment2,2
5737431445,guy,well dressed man,a guy,well dressed man,Entailment2,2
5737434301,hood car,silver car,the hood of a car,a silver car,Independence,4
5743199540,polka dotted apron,red white striped apron,the polka dotted apron,a red and white striped apron,Alternation,0
5744253993,bearded man,singer,A bearded man,the singer,Independence,4
5745120660,band,band members,the band,band members,Entailment2,2
5745387160,man,young white male,A man,A young white male,Entailment2,2
5745387160,punk musician,young musician,Punk musician,A young musician,Independence,4
5745422329,one man,workman,One man,A workman,Entailment2,2
5747873823,guy,punk,A guy,A punk,Independence,4
5747873823,gentleman,shirtless man,gentleman,A shirtless man,Independence,4
5747873823,guy,punk rocker,A guy,Punk rocker,Independence,4
5748015019,two boys,two men boys,Two boys,Two men or boys,Alternation,0
5748015019,two men,two men boys,two men,Two men or boys,Alternation,0
5748024681,course,dirt mound,a course,a dirt mound,Alternation,0
5748029405,blue shirt,bright blue short-sleeved t-shirt,a blue shirt,a bright blue short-sleeved t-shirt,Entailment2,2
5748029405,bicyclist,someone,A bicyclist,Someone,Entailment1,1
5748029405,background,bike tricks,the background,bike tricks,Alternation,0
5748029405,background,some air,the background,some air,Independence,4
5748912722,different meats,sausages,different meats,sausages,Independence,4
5749795798,grassy area,open grassy field,a grassy area,an open grassy field,Entailment2,2
5753038227,asian girl,small child,Asian girl,This small child,Independence,4
5755891783,light blue shirt,light blue t-shirt,a light blue shirt,light blue T-shirt,Entailment2,2
5756366794,bins canned goods,food drive,bins of canned goods,a food drive,Independence,4
5756366794,bins canned goods,canned goods,bins of canned goods,canned goods,Entailment1,1
5757492662,arm,left hand,her arm,her left hand,Alternation,0
5757492662,backwards,dance move,backwards,a dance move,Independence,4
5757814392,child,dirty little boy,This child,A dirty little boy,Entailment2,2
5757814392,dirty little boy,young child,A dirty little boy,A young child,Entailment1,1
5757814392,dirty little boy,little boy,A dirty little boy,Little boy,Entailment1,1
5758838589,blood pressure pump,patients blood pressure,a blood pressure pump,a patients blood pressure,Alternation,0
5759427006,lake park,pond,the lake of a park,a pond,Alternation,0
5759882364,spray powerful wave,wave,the spray of a powerful wave,a wave,Entailment1,1
5761877589,older man,passersby,an older man,passersby,Independence,4
5762196405,four ballerinas,four beautiful ballerinas,Four ballerinas,The four beautiful ballerinas,Entailment2,2
5769761872,colorful drum,drum,a colorful drum,his drum,Entailment1,1
5769761872,colorful drum,instrument,a colorful drum,instrument,Entailment1,1
5769934076,japanese chefs,three chefs,Japanese chefs,three chefs,Independence,4
5769959745,friends,little girl,her friends,a little girl,Alternation,0
5769959745,"colorful , candy filled object",pinata,"a colorful , candy filled object",a pinata,Entailment2,2
5769959745,"colorful , candy filled object",disney princess pinata,"a colorful , candy filled object",a disney princess pinata,Independence,4
5769959745,pinata,princess pinata,a pinata,a princess pinata,Entailment2,2
5769959745,disney princess pinata,pinata,a disney princess pinata,a pinata,Entailment1,1
5771011772,caucasian female,young woman,A caucasian female,A young woman,Independence,4
5775029982,javelin,long stick,a javelin,a long stick,Entailment1,1
5775029982,abandoned beach,beach,an abandoned beach,the beach,Entailment1,1
5777129645,two farmers,two men,The two farmers,Two men,Independence,4
5779172980,older woman,trainer,the older woman,the trainer,Independence,4
5779172980,older woman,pokemon trainer,the older woman,pokemon trainer,Independence,4
5780791171,clothesline,laundry line,a clothesline,a laundry line,Equivalence,3
5781162449,animal,drawings sloths,an animal,drawings of sloths,Alternation,0
5783690677,5 men,five teenagers,5 men,Five teenagers,Independence,4
5783690677,five teenagers,group people,Five teenagers,a group of people,Entailment1,1
5783690677,large body water,shallow water,a large body of water,shallow water,Independence,4
5783690677,five teenagers,young men,Five teenagers,Young men,Independence,4
5783876648,sea probe,some sort device,a sea probe,some sort of device,Entailment1,1
5788678128,crowded museum,middle room,a crowded museum,the middle of a room,Independence,4
5788687372,least dozen people,some people,at least a dozen people,some people,Entailment1,1
5788772871,direction,one direction,the same direction,one direction,Equivalence,3
5789294140,group young adults,several college aged men,A group of young adults,Several college aged men,Entailment2,2
5789294140,group guys,group young adults,A group of guys,A group of young adults,Independence,4
5789670474,man,tattooed skateboarder,A man,A tattooed skateboarder,Independence,4
5790434381,construction project,structure,a construction project,a structure,Independence,4
5790434381,bed large truck,truck,the bed of a large truck,A truck,Entailment1,1
5790434381,3 workers,several men,3 workers,Several men,Independence,4
5790840713,quantity red fabric,red fabric,a quantity of red fabric,red fabric,Equivalence,3
5790840713,indian women,several people,Indian women,Several people,Entailment1,1
5793396150,police officer,two police officers,A police officer,Two police officers,Alternation,0
5794346640,land,rocky outcropping,land,a rocky outcropping,Entailment2,2
5794490455,rugby,soccer game,rugby,a soccer game,Alternation,0
5794490455,group soccer players,two soccer teams,A group of soccer players,Two soccer teams,Independence,4
5794490455,nine men,two soccer teams,Nine men,Two soccer teams,Independence,4
